,Unnamed: 0,PlaylistID,PlaylistName,Category,SubCategory,AvgDuration
66,829,5047,10 Đức Tính Cần Có Của Người Xuất Gia,Podcast,Pháp thoại,73.2
67,427,4538,Toả Sáng Nơi Công Sở,Sách nói,Kỹ năng,72.53999999999999
68,191,4241,Sài Gòn Một Thuở Chưa Xa: Những Đồng Tiền Nghiệt Ngã (Tập 1),Truyện nói,Văn học VN Hiện đại,72.36000000000001
69,563,4706,Kiến tạo thế hệ Việt Nam ưu việt,Sách nói,Thành công,71.58571428571429
70,920,5168,Dám Làm Giàu,Sách nói,Thành công,68.83333333333334
71,417,4526,Yêu Anh Hơn Cả Tử Thần,Truyện nói,Ngôn tình,67.85000000000001
72,360,4451,Giông Tố,Truyện nói,Kinh điển Việt Nam,67.125
73,220,4278,Từ 100 Cân Đến 100 Điểm_6 Bước Giảm Cân Hiệu Quả,Sách nói,Sức khoẻ,66.55000000000001
74,228,4287,Nhẹ Gánh Ưu Phiền,Sách nói,Tâm linh,66.08
75,881,5116,Từ Nội Tâm Hướng Ra Bên Ngoài ,Sách nói,Tâm lý,65.68
76,733,4927,Trở Về Từ Cõi Sáng,Sách nói,Tâm linh,65.44666666666667
77,909,5156,Tất Cả Đều Là Chuyện Nhỏ,Sách nói,Tâm lý,64.52
78,875,5109,Đánh Cắp Ý Tưởng ,Sách nói,Marketing,64.45
79,643,4811,Cây Thập Tự Ven Đường,Truyện nói,Trinh thám,64.325
80,503,4628,Không nơi nương tựa,Truyện nói,Văn học Quốc tế Hiện đại,63.65
81,719,4912,Yes Or No - Những Quyết Định Thay Đổi Cuộc Sống,Sách nói,Hạnh phúc,63.32857142857143
82,770,4974,Hai Vạn Dặm Dưới Biển,Truyện nói,Kinh điển Quốc tế,62.70833333333335
83,830,5049,Mặt Hồ Tĩnh Lặng,Podcast,Pháp thoại,62.46666666666666
84,574,4717,Inbound Marketing - Thu Hút Thế Giới Về Với Bạn Trong Môi Trường Trực Tuyến,Sách nói,Marketing,62.33
85,130,4164,[Sách Tóm Tắt] Tư Duy Tối Ưu,Sách tóm tắt,Sách tóm tắt,62.09999999999999
86,143,4179,Điều Gì Quan Trọng Trong Đời Bạn?,Sách nói,Thành công,59.9625
87,685,4862,Lãng Du Trong Văn Hóa Việt Nam - 1 - Đất Việt,Sách nói,Lịch sử,59.65
88,408,4517,Vũ Điệu Của Thần Chết,Truyện nói,Trinh thám,59.31999999999999
89,249,4316,Đoạn Tuyệt,Truyện nói,Kinh điển Việt Nam,59.2
90,543,4685,Nghĩ Lớn Để Thành Công,Sách nói,Thành công,59.11785714285715
91,827,5044,Kinh Quán Thế Âm Đại Bi Tâm Đà La Ni,Podcast,Pháp thoại,59.05
92,222,4280,Truyện Ngắn Thạch Lam 2 - Bóng Người Xưa,Truyện nói,Kinh điển Việt Nam,58.875
93,539,4680,Giáo Dục: Tuyệt Vời Nhất = Đơn Giản Nhất,Sách nói,Con cái,58.81111111111112
94,880,5115,Khám Phá Thế Giới Tâm Linh - Discover The Invisible,Sách nói,Tâm linh,58.65454545454546
95,485,4608,Hẹn Hò Với Châu Âu,Truyện nói,Văn học VN Hiện đại,56.79999999999999
96,814,5030,7 Thói Quen Tạo Gia Đình Hạnh Phúc,Sách nói,Lứa đôi,56.66666666666666
97,540,4681,Hoa Sen Trên Tuyết,Sách nói,Tâm linh,56.32777777777778
98,511,4647,Minh Triết Trong Đời Sống,Sách nói,Tâm linh,56.03882352941179
99,868,5100,Tâm Tĩnh Lặng,Podcast,Pháp thoại,55.78888888888889
100,943,5203,Những Bí Quyết Căn Bản Để Thành Công Trong PR,Sách nói,Marketing,55.76666666666666
101,647,4817,Tường Vi Đêm Đầu Tiên (Tập 3),Truyện nói,Ngôn tình,55.63333333333333
102,136,4171,Bí quyết dưỡng da kiểu Hàn Quốc,Sách nói,Sức khoẻ,55.63
103,937,5196,Điểm Dối Lừa,Truyện nói,Trinh thám,55.45
